dataset,feature_set,model,raw_model,group_sparse_dimension,group_sparsity,pre_truncation_sparse_dimension,actual_sparse_dimension,pre_truncation_sparsity,actual_sparsity,dense_dimension,p5,p95,p95_over_p5,stats_path
cc3m,truncated,BAAI__bge-base-en-v1.5_text,topk_16384_BAAI__bge-base-en-v1.5_text_k_128,16384,128,16384,14303,128,33.6974,768,0.0146377,0.182631,12.4767,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-base-en-v1.5_text_k_128/sparse_features_statistics.npz
cc3m,truncated,BAAI__bge-large-en-v1.5_text,topk_16384_BAAI__bge-large-en-v1.5_text_k_128,16384,128,16384,14068,128,42.3952,1024,0.0139354,0.169947,12.1953,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_BAAI__bge-large-en-v1.5_text_k_128/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-1.7B_text,topk_16384_codefuse-ai__F2LLM-1.7B_text_k_128,16384,128,16384,14125,128,77.9565,2048,0.0153332,0.169556,11.0581,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-1.7B_text_k_128/sparse_features_statistics.npz
cc3m,truncated,codefuse-ai__F2LLM-4B_text,topk_16384_codefuse-ai__F2LLM-4B_text_k_128,16384,128,16384,15147,128,99.2223,2560,0.0159894,0.140653,8.79667,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_codefuse-ai__F2LLM-4B_text_k_128/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-base_img,topk_16384_facebook__dinov2-base_img_k_128,16384,128,16384,16344,128,124.07,768,0.0176766,0.123655,6.9954,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-base_img_k_128/sparse_features_statistics.npz
cc3m,truncated,facebook__dinov2-large_img,topk_16384_facebook__dinov2-large_img_k_128,16384,128,16384,16311,128,123.999,1024,0.0165585,0.128942,7.78708,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__dinov2-large_img_k_128/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-huge_img,topk_16384_facebook__vit-mae-huge_img_k_128,16384,128,16384,15552,128,54.7277,1280,0.0111773,0.055826,4.9946,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-huge_img_k_128/sparse_features_statistics.npz
cc3m,truncated,facebook__vit-mae-large_img,topk_16384_facebook__vit-mae-large_img_k_128,16384,128,16384,15165,128,45.0789,1024,0.0139581,0.0644786,4.61943,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_facebook__vit-mae-large_img_k_128/sparse_features_statistics.npz
cc3m,truncated,google__gemma-3-1b-it_text,topk_16384_google__gemma-3-1b-it_text_k_128,16384,128,16384,15014,128,68.1131,1152,0.0162736,0.1093,6.71638,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__gemma-3-1b-it_text_k_128/sparse_features_statistics.npz
cc3m,truncated,google__gemma-3-4b-it_text,topk_16384_google__gemma-3-4b-it_text_k_128,16384,128,16384,15163,128,81.9201,2560,0.0137327,0.101828,7.415,/orcd/scratch/orcd/003/kirilb/PRH_data/topk_sae_cc3m/topk_16384_google__gemma-3-4b-it_text_k_128/sparse_features_statistics.npz
